letter,float,integer
r,83.77,44
c,51.36,1
m,22.11,94
u,51.86,87
w,45.41,77
p,55.28,19
x,35.65,48
w,34.3,21
e,1.72,68
i,55.84,80
y,2.89,13
t,24.48,66
t,25.6,84
n,24.38,52
k,48.22,47
y,5.95,59
i,77.14,68
d,15.82,99
s,76.51,22
j,86.74,51
m,55.83,85
x,25.02,82
s,26.38,63
n,81.95,53
z,35.0,20
k,29.47,89
s,65.33,94
w,18.66,7
c,73.02,66
m,18.79,0
h,3.04,64
l,62.49,46
i,49.34,40
c,56.67,3
y,49.73,34
t,52.16,42
d,49.76,94
d,85.9,7
p,24.48,62
z,85.7,69
s,93.87,40
a,28.13,87
v,44.27,94
c,94.87,55
k,45.2,60
g,54.75,47
k,82.52,29
j,9.56,50
f,36.99,38
z,55.16,27
l,20.96,28
g,66.22,6
m,39.84,3
h,95.37,78
d,38.72,47
v,80.96,90
i,25.32,98
b,78.95,58
h,50.65,26
l,42.24,87
w,53.51,2
v,10.59,78
q,79.71,0
a,57.42,93
g,64.38,21
n,86.22,29
y,58.61,68
h,75.09,22
v,96.5,2
u,87.67,100
o,80.08,25
q,17.25,85
o,18.88,31
l,59.44,4
j,96.49,19
q,2.77,9
o,43.35,82
f,8.12,14
m,77.55,68
a,71.84,62
c,1.96,20
k,11.22,66
d,21.5,72
x,3.41,66
i,25.39,35
p,14.94,70
y,53.59,68
j,70.95,87
w,23.26,88
q,45.06,17
z,77.29,68
f,83.06,48
u,9.91,17
x,79.11,12
v,52.44,57
z,83.03,89
i,90.33,85
t,68.44,61
j,87.68,51
a,29.1,76
